Sum of current_firm,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,Grand Total
105,2,6,0,0,0,6,0,6,0,6,0,6,5,0,0,0,0,6,5,0,0,0,0,0,0,6,0,6,0,0,0,0,0,6,0,0,6,5,6,0,0,0,0,6,0,0,6,5,5,0,0,0,6,5,0,0,0,116
106,2,6,2,0,0,2,0,0,2,2,2,0,0,2,2,2,2,2,2,0,0,2,2,2,0,0,2,2,0,6,0,0,2,0,0,2,2,2,0,0,2,0,0,2,2,2,2,2,2,0,6,0,0,2,0,6,2,84
107,0,0,6,8,0,6,0,0,6,8,0,0,6,8,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,6,90
108,6,0,0,0,0,0,0,0,6,0,0,6,6,4,4,6,0,0,0,0,0,0,6,4,6,0,0,0,0,0,0,0,0,0,0,0,0,6,4,4,4,0,0,0,6,0,6,0,6,4,0,0,6,4,0,0,0,104
109,6,2,6,2,2,0,6,2,0,0,2,2,0,0,2,0,0,2,6,2,6,2,6,2,6,2,6,2,6,2,0,0,2,0,0,2,0,0,2,0,6,2,0,0,2,6,2,2,0,0,2,0,0,2,0,0,2,114
110,2,2,0,6,0,6,2,2,2,0,0,2,2,2,2,2,0,0,2,2,2,2,2,2,2,2,2,2,0,6,6,0,0,2,0,0,2,2,2,0,0,2,2,2,0,0,2,2,2,2,2,2,6,0,0,2,2,100
111,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,6,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,2,2,2,2,2,2,2,2,2,2,2,2,6,2,2,86
112,0,0,2,6,2,0,0,2,0,0,2,2,2,0,0,2,0,6,2,2,2,2,2,0,0,2,2,0,0,2,2,0,0,2,2,2,2,0,0,2,0,0,2,2,2,2,0,6,0,0,2,0,6,2,0,6,0,84
113,0,6,2,0,0,2,0,6,2,0,0,2,0,0,2,0,0,2,2,0,0,2,2,0,6,2,0,0,2,2,0,0,2,0,0,2,0,0,2,0,6,2,0,0,2,2,0,0,2,2,6,2,0,0,2,0,6,80
114,0,0,6,2,2,2,2,2,0,0,6,6,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6,2,2,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,68
115,0,8,0,0,8,8,6,0,8,0,0,8,0,8,6,6,8,0,0,8,8,6,0,8,8,0,0,8,8,8,0,6,0,0,8,6,8,8,8,0,0,8,0,6,0,0,0,8,0,8,6,0,8,6,6,8,0,244
116,2,2,2,2,2,2,2,2,6,0,6,0,6,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,6,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,116
117,2,2,0,8,8,0,0,8,8,8,0,8,0,8,0,0,8,8,0,8,0,0,8,8,8,0,8,8,8,0,0,8,8,8,8,8,0,0,0,8,6,8,8,0,8,8,8,8,0,0,8,0,8,8,8,0,8,274
118,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,6,0,6,0,112
119,8,2,0,0,8,2,8,2,8,2,8,2,8,2,0,0,0,8,2,8,2,0,8,2,8,2,0,8,8,2,2,8,2,0,8,2,0,0,8,2,2,8,8,2,8,2,0,0,8,2,8,2,0,0,8,2,0,210
120,6,4,0,0,0,6,4,0,0,0,6,4,0,0,0,0,6,0,0,6,4,4,0,0,6,4,4,6,4,4,0,0,0,0,0,6,4,4,0,6,4,6,0,6,4,6,6,4,6,4,6,4,6,0,0,0,0,160
121,2,2,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,6,6,2,0,0,0,6,2,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,52
122,2,2,2,2,2,2,4,2,4,4,2,4,2,4,2,4,2,4,2,4,2,4,4,4,4,2,4,2,4,2,4,2,4,2,2,4,2,4,2,4,2,4,2,4,2,4,4,2,4,2,4,2,4,2,2,4,4,170
123,2,2,2,2,2,0,8,0,8,8,8,8,0,0,2,2,2,2,2,2,2,0,0,2,2,8,2,8,8,0,0,2,8,2,0,0,2,2,0,8,8,2,8,2,0,0,2,2,2,8,8,2,2,0,0,2,2,168
124,2,2,6,6,4,4,0,0,6,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0,0,6,6,4,4,4,4,6,4,0,0,6,0,0,0,0,0,0,0,6,0,0,112
125,6,0,0,2,2,2,2,2,2,2,2,2,2,2,2,0,6,0,0,2,2,6,0,0,2,0,0,2,2,2,2,2,2,2,2,6,0,0,2,0,0,2,6,0,0,2,2,0,0,2,0,6,0,0,2,6,0,100
126,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,114
127,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,2,4,4,4,2,2,2,4,4,2,2,4,4,4,2,2,2,2,2,2,2,4,4,4,4,4,4,4,2,2,2,2,2,4,184
128,0,0,0,0,6,6,6,6,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,8,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,80
129,0,6,8,6,8,6,8,0,6,0,0,0,6,0,0,0,6,8,0,0,0,0,6,0,8,0,0,0,6,8,6,8,0,0,0,0,0,0,0,6,0,8,0,6,8,6,8,8,6,0,0,6,0,0,0,6,0,178
130,8,0,0,8,8,8,0,8,8,8,0,8,0,8,8,0,8,0,0,8,0,6,6,0,8,0,8,0,0,0,8,8,0,8,0,0,0,0,0,0,0,8,0,8,0,0,8,8,0,0,8,0,0,8,8,0,8,212
131,2,2,8,8,6,8,8,8,8,8,0,8,0,0,8,8,6,0,8,8,0,0,8,8,0,8,0,0,8,0,6,0,0,0,0,8,0,0,8,0,8,8,8,8,0,8,8,8,6,0,0,8,8,0,0,0,8,252
132,0,8,0,0,8,0,6,8,0,6,0,8,0,6,8,0,6,8,0,0,0,8,0,6,8,0,0,8,0,6,0,0,8,0,0,0,8,0,0,8,0,0,8,0,0,8,0,6,0,8,6,0,0,8,0,0,0,176
133,8,8,0,0,8,0,8,8,8,8,8,8,0,0,0,0,8,8,0,0,8,8,8,0,0,8,8,8,6,0,6,0,8,6,0,8,6,0,8,6,0,8,0,8,0,0,8,0,0,0,8,8,0,6,0,6,0,242
134,0,0,6,5,0,0,0,6,5,0,0,0,0,0,6,5,0,0,0,6,0,0,0,6,6,5,5,5,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,6,5,5,6,0,6,0,0,0,106
135,0,0,6,5,6,5,5,6,6,0,0,0,0,0,6,5,5,5,5,0,0,0,0,0,0,6,0,0,0,6,6,6,5,6,6,5,0,6,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,138
136,0,0,8,0,0,0,8,6,8,0,0,8,6,8,6,0,6,0,0,8,0,0,0,0,8,0,0,0,0,0,0,8,0,0,8,0,0,8,0,0,8,0,6,8,0,0,8,0,0,8,0,0,8,0,0,8,8,166
137,2,6,6,0,0,0,6,0,6,6,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,6,6,0,6,0,0,6,0,0,0,0,0,0,0,0,86
138,8,0,6,8,0,0,8,0,0,8,0,0,0,0,8,0,0,8,0,0,0,8,0,0,8,0,0,0,0,8,0,0,0,8,6,8,0,0,8,0,0,8,0,0,0,8,0,8,0,0,0,0,0,8,0,0,0,140
139,0,6,0,6,5,6,5,6,5,0,0,0,0,6,0,0,6,5,0,6,5,5,5,0,0,0,0,0,0,0,0,6,5,6,5,0,6,5,6,5,5,5,5,0,0,0,6,0,0,6,5,5,5,6,0,0,0,169
140,3,3,3,0,6,0,0,0,0,6,0,6,0,0,6,6,6,0,0,0,0,0,6,5,0,6,5,5,5,5,6,5,5,5,0,6,6,0,6,0,0,0,0,6,0,0,0,0,0,0,0,6,6,0,0,0,6,145
141,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,6,0,6,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,99
142,3,3,3,0,8,6,6,0,6,0,0,0,8,0,0,8,0,8,0,0,8,8,0,8,8,0,0,0,8,8,0,8,8,8,0,8,0,0,8,8,8,0,0,0,8,0,8,8,8,0,6,8,0,8,8,8,0,233
143,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,6,0,0,6,3,3,3,3,3,0,60
144,6,6,3,3,3,0,6,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,6,0,0,6,3,0,0,0,0,0,6,3,3,0,0,6,0,0,0,0,0,0,6,6,93
145,6,8,8,0,8,0,6,0,8,0,0,0,0,0,0,0,0,0,0,0,6,0,8,0,0,0,0,6,8,0,0,0,6,8,8,0,0,0,6,0,8,8,0,6,8,0,6,0,0,0,6,8,0,0,0,0,0,150
146,3,0,0,0,6,0,0,6,0,0,0,0,0,6,4,4,4,4,4,4,4,0,0,0,6,0,0,0,6,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,4,4,4,4,4,0,6,4,115
147,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,6,0,0,0,0,6,0,6,0,6,0,6,6,0,0,6,0,0,0,138
148,6,3,6,3,6,3,0,0,0,0,6,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,3,6,6,0,0,6,0,0,0,0,6,3,6,3,0,0,0,0,6,3,3,0,0,0,0,0,0,0,0,0,99
149,8,0,6,6,6,0,8,8,0,0,0,8,8,8,8,8,6,0,6,0,0,8,8,0,0,8,8,0,0,0,8,6,6,6,0,6,0,6,0,0,0,8,0,0,8,8,0,8,8,8,0,6,0,8,8,0,8,242
150,6,3,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,6,0,0,0,0,0,6,3,0,6,3,6,3,0,0,0,0,0,0,0,0,0,6,3,6,3,0,0,0,0,0,0,0,0,6,3,0,0,6,3,87
151,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,8,8,6,0,0,8,0,0,0,8,8,8,8,8,8,0,6,6,6,0,0,0,8,8,8,0,0,8,8,0,8,8,8,0,8,0,0,0,0,8,224
152,3,3,0,6,0,0,6,0,6,6,0,0,0,6,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,6,6,0,0,0,0,6,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,6,0,0,6,0,117
153,6,3,0,0,0,0,6,3,0,6,3,0,0,0,0,6,3,0,0,6,3,6,3,0,6,3,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,6,3,0,0,0,0,90
154,3,3,3,3,3,3,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,6,0,0,0,0,60
155,6,0,0,0,0,0,0,0,0,0,6,5,5,6,5,0,6,5,5,0,0,0,6,6,5,6,5,0,0,6,0,0,0,0,0,0,6,6,5,5,5,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,116
156,6,3,0,6,0,0,0,0,6,3,3,0,0,0,0,6,3,0,0,0,0,6,0,0,0,0,6,6,3,3,3,6,3,0,0,0,0,0,6,3,0,0,0,0,0,6,3,0,0,0,6,3,0,6,0,6,3,114
157,3,3,0,0,0,0,0,0,0,6,6,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,0,6,3,3,3,0,0,6,3,3,3,0,0,0,0,0,0,6,6,0,0,6,3,6,6,99
158,3,3,3,3,0,0,6,3,3,3,3,0,0,6,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,6,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,78
159,3,3,3,3,3,3,3,3,8,0,0,8,0,6,8,0,0,0,8,0,8,0,0,0,0,0,0,0,0,8,0,0,8,0,0,0,0,8,0,0,8,0,0,8,0,6,8,0,8,6,8,0,0,0,8,8,0,162
160,6,8,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,8,8,6,0,0,6,0,8,0,0,0,0,6,0,0,0,0,0,0,6,0,8,0,0,0,6,8,8,0,0,0,0,0,0,6,6,6,8,8,8,146
161,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,171
162,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,6,0,6,6,0,0,6,0,6,0,0,0,0,0,0,0,0,6,0,0,6,0,6,0,0,0,132
163,6,5,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,6,5,0,0,0,0,6,5,6,5,6,5,0,0,0,0,0,6,6,6,5,0,0,0,0,6,5,0,106
164,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,171
165,3,0,0,0,0,0,0,6,3,3,3,3,6,3,3,3,3,0,6,6,3,6,3,3,0,0,6,3,3,0,0,0,0,6,3,3,0,6,3,6,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,114
166,3,3,0,0,0,0,0,6,3,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,0,6,3,3,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,72
167,6,0,8,0,6,8,0,0,0,0,6,8,0,6,0,0,6,8,0,0,6,8,8,8,0,0,0,0,0,0,0,6,8,0,8,0,0,0,6,0,0,6,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,138
168,6,8,8,0,0,0,0,0,6,0,8,0,8,0,8,0,0,0,0,0,0,0,0,0,0,6,0,0,6,8,0,0,0,0,0,0,6,8,0,0,0,0,0,6,0,8,8,8,0,8,0,0,0,6,0,6,0,136
169,3,8,0,6,0,0,8,0,0,8,8,0,0,8,6,0,6,8,0,0,8,8,8,6,0,0,8,8,0,0,8,8,0,0,0,8,0,0,0,8,8,6,0,6,0,0,8,8,8,0,0,8,0,6,8,8,0,221
170,6,0,0,0,6,8,0,0,0,0,0,0,6,8,0,0,0,0,0,0,0,6,8,0,0,6,8,6,0,0,0,0,0,6,6,8,6,0,8,0,0,0,0,0,0,6,0,0,0,0,6,8,0,6,0,0,0,128
171,3,3,3,0,0,6,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,8,0,8,0,8,0,8,8,8,8,8,0,0,0,0,0,0,0,6,0,6,6,0,0,0,0,0,0,6,121
172,3,0,6,0,6,6,5,5,5,5,5,0,0,0,6,0,0,0,0,0,6,0,0,0,0,6,0,6,0,0,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,6,5,105
173,0,6,3,6,0,6,0,0,6,0,0,6,3,0,0,0,0,6,6,0,6,3,0,0,0,0,0,0,0,6,3,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,3,3,0,0,0,0,6,0,0,0,93
174,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,8,0,8,0,8,0,0,0,0,0,8,0,0,0,0,0,0,0,149
175,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,8,8,8,8,8,8,0,0,0,6,0,6,6,0,6,8,8,8,0,0,0,6,6,8,0,0,0,6,8,0,0,0,0,145
176,3,3,0,6,0,6,0,0,0,0,0,0,6,5,5,5,6,5,5,5,5,5,6,5,6,0,0,0,0,6,0,6,5,0,0,6,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121
177,6,0,0,0,0,0,0,0,6,0,0,0,6,0,0,6,0,0,0,0,0,6,0,6,3,3,3,3,0,0,0,0,6,6,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,0,6,0,0,0,0,123
178,3,3,3,3,3,3,3,3,3,0,6,0,6,6,5,0,0,0,6,0,0,6,0,0,6,0,0,0,0,0,6,0,6,5,5,5,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,107
179,3,0,6,5,5,5,5,5,5,5,5,0,0,0,6,6,5,0,0,0,6,6,0,0,0,6,0,6,0,0,6,0,6,6,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,134
180,3,3,8,0,0,0,8,8,6,0,0,8,8,0,8,8,0,8,8,0,0,0,0,8,8,8,8,6,8,8,0,8,0,8,0,8,8,8,0,0,0,0,0,0,8,0,8,8,8,8,8,8,0,0,8,8,0,250
181,3,0,0,0,6,3,3,3,3,3,3,3,3,3,3,3,3,6,3,3,3,3,0,6,3,0,6,0,0,0,0,0,0,0,0,0,6,3,0,0,6,3,3,3,0,0,6,3,3,3,0,0,6,3,0,6,0,132
182,8,0,0,0,8,8,6,8,6,0,0,8,0,0,8,0,0,8,0,0,8,0,0,8,6,8,0,0,8,6,8,0,6,8,0,0,8,0,0,8,6,8,8,6,0,0,8,0,0,8,0,0,8,0,0,8,6,216
183,8,0,0,0,8,6,0,8,6,8,0,0,8,0,0,0,8,0,0,8,0,0,8,6,0,8,0,0,0,8,0,6,8,0,0,0,8,0,6,8,0,0,8,0,0,0,0,8,0,0,8,0,0,8,6,0,8,180
184,3,0,0,0,6,6,5,6,0,0,6,5,0,0,0,0,0,0,0,0,6,5,0,0,0,6,6,5,0,0,0,0,0,0,0,6,5,6,5,0,0,0,6,5,5,6,5,0,0,0,0,0,6,5,0,0,6,131
185,3,3,3,6,6,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,0,6,3,3,3,3,3,3,3,6,0,0,0,0,0,0,6,3,3,0,6,0,0,0,0,0,0,6,0,0,0,0,0,6,0,96
186,8,8,0,6,0,8,0,0,8,0,6,8,0,0,8,0,0,0,0,8,0,6,0,8,0,0,8,6,0,8,6,8,6,0,6,0,0,8,0,8,0,0,0,0,0,8,0,8,0,6,8,0,0,8,8,0,0,192
187,3,8,8,8,0,8,6,6,0,0,8,0,0,8,0,8,0,8,0,8,8,8,8,0,0,0,8,0,0,8,0,8,0,0,0,0,8,8,8,8,8,0,0,8,0,6,0,0,8,0,0,0,8,0,0,8,0,213
188,0,0,0,6,0,6,0,0,6,0,0,6,5,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,6,5,5,5,0,0,0,0,6,5,6,0,6,5,5,5,0,6,5,0,0,0,0,0,0,0,6,116
189,3,3,3,3,6,0,0,0,0,0,0,0,6,6,3,3,3,3,0,0,0,0,0,6,6,0,0,0,6,3,3,3,3,0,6,6,0,0,0,0,0,0,0,6,3,0,0,6,0,6,6,0,6,0,0,6,0,123
190,8,6,0,0,0,8,0,0,0,8,8,0,6,0,0,0,8,0,0,8,0,0,8,0,0,0,8,0,8,6,8,0,0,0,8,0,0,8,8,0,0,0,0,0,8,8,0,0,0,0,0,8,6,8,0,0,8,168
191,0,0,0,6,0,0,0,0,0,6,5,5,5,0,0,6,5,0,0,0,0,0,6,0,0,0,6,5,0,0,6,5,5,5,5,5,0,0,0,0,6,5,5,0,0,0,0,0,6,6,5,5,5,5,6,5,0,145
192,0,0,0,0,6,0,6,0,0,6,0,0,0,0,0,6,0,0,0,6,0,0,6,6,0,0,0,0,0,6,0,0,6,0,6,0,0,0,0,0,0,0,6,3,0,6,0,0,0,6,3,3,3,3,3,0,0,96
193,6,3,0,6,0,0,0,0,0,0,0,0,6,3,3,0,6,3,3,0,0,0,0,0,0,0,0,0,6,3,0,6,0,0,0,0,0,0,0,6,3,3,0,6,3,3,3,6,0,0,0,6,0,6,3,3,3,108
194,0,0,0,0,6,5,0,0,6,5,0,0,0,0,0,6,0,0,6,5,5,6,0,6,5,6,0,6,0,0,0,6,5,5,0,0,0,0,6,5,0,6,5,0,0,0,6,0,0,0,6,5,0,0,0,0,6,134
195,3,3,3,3,3,0,6,6,0,0,6,0,6,0,0,0,0,0,0,0,6,6,0,0,6,6,0,0,0,6,0,0,0,0,6,0,0,0,0,0,6,6,6,0,6,5,5,5,5,5,0,0,0,6,0,6,0,136
196,0,8,0,0,8,6,8,0,0,8,6,8,0,0,8,6,0,0,8,6,8,6,0,0,0,0,8,0,6,8,0,0,0,8,0,0,8,0,0,0,0,8,6,0,8,8,6,0,8,0,0,8,0,6,8,0,0,198
197,3,0,0,6,0,8,8,0,0,0,0,6,0,0,0,6,0,0,0,0,6,0,0,6,0,8,0,0,0,0,0,0,0,0,0,0,6,0,8,0,6,8,6,0,0,6,8,0,0,0,0,0,0,0,0,0,0,105
198,3,3,3,3,3,3,3,3,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,6,0,6,75
199,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,171
200,6,0,0,6,0,0,0,0,0,6,6,6,0,0,0,0,0,0,0,0,0,6,0,6,6,5,0,0,0,6,0,0,0,0,0,0,0,6,5,0,0,0,0,6,5,0,0,0,0,6,5,5,5,5,0,0,0,107
201,4,0,6,0,0,4,0,6,4,4,4,4,4,6,0,6,4,4,0,0,4,4,0,0,4,4,0,0,4,4,0,0,4,4,0,0,4,6,0,6,4,0,0,4,0,0,4,0,0,4,4,4,0,0,4,0,0,136
202,6,6,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,6,5,6,5,5,0,0,6,0,6,5,0,0,6,0,0,0,0,6,0,6,6,6,5,5,0,0,0,0,6,0,0,0,0,0,6,5,0,131
203,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,6,0,0,0,6,6,0,0,0,6,0,0,0,0,6,178
204,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,4,4,4,4,4,4,4,4,4,200
205,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,4,4,4,4,4,4,4,4,4,4,4,4,0,0,4,4,4,4,4,4,4,4,0,6,6,6,214
206,0,6,0,6,0,0,4,0,6,4,4,0,0,4,4,4,4,4,0,0,4,4,4,0,0,4,0,0,4,0,0,4,4,0,6,6,4,4,4,0,0,4,4,6,6,0,0,4,0,6,4,0,0,4,0,0,4,144
207,4,4,6,5,6,0,0,6,0,0,6,6,0,6,6,6,0,0,0,0,0,6,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,6,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,6,0,6,190
208,0,6,5,0,0,6,6,0,6,5,0,0,0,0,0,0,0,0,6,5,0,6,0,0,6,6,5,5,5,5,5,5,5,5,5,5,6,6,0,0,0,0,0,0,6,6,0,6,0,0,6,5,5,5,5,0,0,169
209,4,4,4,4,4,4,4,0,0,0,0,0,0,6,6,0,0,6,6,0,0,0,0,6,5,0,0,6,6,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,6,0,0,6,0,6,0,0,0,0,6,6,0,116
210,0,0,6,4,0,0,0,0,0,0,0,6,4,0,6,0,0,0,0,6,4,0,0,6,6,4,0,0,0,6,4,0,6,6,4,0,6,4,0,6,4,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,110
211,0,0,6,4,0,6,0,6,4,4,4,0,0,0,0,6,4,6,6,4,0,0,6,4,0,6,0,0,0,0,6,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,6,4,4,0,0,0,6,4,6,4,0,126
212,4,4,0,0,0,0,0,6,0,6,0,6,0,6,6,5,5,5,5,6,0,0,0,6,5,5,5,0,6,6,0,0,6,5,0,0,0,6,0,0,0,0,0,0,0,6,5,5,5,5,5,5,0,0,0,6,0,156
213,6,5,6,5,0,6,5,6,5,6,5,0,6,5,0,0,0,6,5,0,0,0,0,0,6,5,0,0,0,6,5,0,0,0,6,5,0,0,0,6,5,0,6,5,0,0,6,5,5,0,0,0,0,0,0,0,0,148
214,6,4,4,0,0,0,0,0,0,0,6,4,4,6,4,0,0,0,0,0,0,0,6,4,4,0,6,4,4,6,4,0,6,4,0,0,0,0,0,0,0,0,0,0,0,6,4,6,4,0,0,6,4,0,6,4,4,130
215,0,0,4,0,0,4,6,4,6,4,6,4,6,4,6,4,0,0,4,6,4,0,6,0,0,4,6,4,0,6,4,0,6,4,0,0,4,6,4,0,0,4,0,0,4,0,0,4,0,0,4,6,4,0,0,4,0,156
216,4,0,0,6,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,6,3,3,0,58
217,4,0,6,4,0,0,4,0,0,4,6,4,4,0,0,4,0,0,4,0,6,0,6,4,0,0,4,4,0,0,4,0,0,4,0,0,4,4,0,0,4,0,0,4,4,6,4,6,4,4,4,0,0,4,4,4,0,136
218,6,0,0,0,0,6,5,0,0,0,6,5,5,0,6,5,6,0,6,0,0,6,5,0,0,0,0,6,5,5,6,5,0,0,6,5,0,0,0,6,0,0,0,6,0,0,6,5,0,0,0,6,5,0,6,5,5,155
219,0,6,5,0,0,0,0,0,6,0,6,0,0,0,0,0,0,6,5,5,5,6,5,0,6,5,5,0,0,0,0,0,0,0,0,6,5,0,0,6,0,6,5,0,0,0,0,0,0,0,6,5,5,5,6,5,5,136
220,4,4,0,0,4,0,0,4,6,0,0,4,4,4,4,0,0,4,4,4,0,6,0,0,4,4,0,0,4,6,4,0,0,4,4,4,4,4,4,0,6,0,0,4,4,0,0,4,4,4,4,0,0,4,4,4,4,148
