Sum of current_firm,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,Grand Total
26,10,0,0,10,10,8,10,0,0,10,8,10,8,10,8,10,8,10,10,0,8,10,10,0,8,10,0,8,0,0,10,0,0,10,8,10,8,10,0,0,10,8,10,0,0,10,8,10,0,0,10,8,10,0,8,0,0,342
27,10,1,10,1,10,1,10,1,10,1,10,1,10,1,10,1,10,1,10,1,10,1,10,10,1,10,1,1,10,1,10,1,1,10,1,10,1,10,1,10,1,10,1,10,1,10,1,10,1,10,1,10,1,10,1,10,1,309
28,1,1,10,10,10,10,10,10,1,1,1,1,1,1,1,1,1,10,10,1,1,1,1,1,1,1,1,1,1,1,1,1,10,1,1,1,1,1,1,10,10,1,1,1,10,10,1,1,1,10,10,10,10,10,10,1,1,228
29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,57
30,10,8,10,8,10,0,8,10,8,10,8,10,8,10,8,10,8,10,0,8,0,0,10,0,0,10,8,8,10,8,10,0,8,10,0,8,10,8,10,0,8,10,0,0,10,8,10,8,10,0,0,10,0,8,10,8,10,390
31,0,10,8,0,8,0,8,0,8,8,8,10,10,10,10,10,8,0,8,0,8,8,8,8,10,0,0,10,10,10,10,8,10,10,10,10,10,8,8,10,10,10,10,10,10,10,0,8,8,0,0,10,10,10,0,0,10,406
32,10,10,1,1,10,1,1,1,1,1,10,1,1,1,1,10,1,1,1,10,10,1,10,10,10,10,10,10,10,1,10,1,1,1,10,1,1,10,10,1,1,10,10,10,10,1,10,10,10,1,1,1,10,10,1,1,1,300
33,10,1,1,10,1,10,1,10,10,1,10,1,10,1,10,1,10,10,1,10,1,10,1,10,1,10,1,10,10,10,1,10,10,1,1,10,1,10,1,10,1,10,1,10,1,10,1,1,10,1,10,1,1,10,1,10,1,318
34,1,10,1,10,1,1,1,1,10,1,1,1,10,10,1,10,1,1,10,1,10,1,10,10,10,1,1,1,10,10,1,10,1,10,10,10,10,1,1,1,1,1,1,1,10,0,10,1,1,1,1,10,10,1,1,1,10,263
35,1,10,10,10,10,10,10,1,1,1,10,1,1,1,10,10,10,1,10,10,10,1,1,10,1,1,1,10,10,10,1,10,10,10,10,10,10,10,10,10,1,10,10,10,1,10,10,1,1,1,1,1,1,10,10,10,10,372
36,1,1,1,1,1,1,1,1,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,10,10,8,0,0,10,10,10,10,10,10,0,8,0,8,8,0,8,10,10,10,10,10,8,10,10,8,10,10,10,405
37,10,1,10,10,10,10,10,1,10,10,10,1,10,10,10,1,10,10,1,1,1,10,10,10,10,1,10,10,10,10,1,1,1,1,1,1,1,1,10,10,10,1,1,1,1,1,1,10,10,1,1,10,10,1,1,1,1,318
38,1,10,10,8,0,8,10,8,10,8,8,10,0,0,10,8,10,0,8,10,0,0,10,0,0,10,0,8,10,0,8,10,10,0,8,10,8,10,10,0,0,10,8,10,0,8,10,0,8,10,0,0,10,8,10,8,10,359
