tick,firm_ID,capacity,overbook,customers_count,bookings,customers_waiting,pre_decision_booking,franchise_ID,star_rating,firm_age,f_deviance_propensity,firm_decision,firm_status
10,7,74,0,39,39,0,51,0,5,10,3,0,0
10,1,38,0,35,35,0,28,0,3.7,3,0,0,0
10,2,33,0,21,21,0,21,0,3.8,4,0,0,0
10,4,55,0,45,45,0,41,1,4.6,10,1,0,0
10,9,34,0,4,4,0,4,0,2.8,15,6,0,0
11,3,50,0,21,21,0,30,0,3.5,5,1,0,0
11,2,33,0,19,19,0,21,0,3.8,4,0,0,0
11,1,38,0,23,23,0,28,0,3.7,3,0,0,0
11,8,75,0,104,75,29,75,0,4.8,13,5,0,0
11,5,51,0,29,29,0,32,0,3.9,9,2,0,0
11,7,74,0,44,44,0,51,0,5,10,3,0,0
11,4,55,0,36,36,0,41,1,4.6,10,1,0,0
11,10,69,0,63,63,0,69,0,5,17,1,0,0
11,9,34,0,4,4,0,4,0,2.8,15,6,0,0
11,6,71,0,201,71,130,71,0,4.9,8,0,0,0
12,8,75,0,108,75,33,75,0,4.8,13,5,0,0
12,4,55,0,43,43,0,41,1,4.6,10,1,0,0
12,6,71,0,189,71,118,71,0,4.9,8,0,0,0
12,10,69,0,60,60,0,69,0,5,17,1,0,0
12,5,51,0,27,27,0,32,0,3.9,9,2,0,0
12,7,74,0,44,44,0,51,0,5,10,3,0,0
12,2,33,0,14,14,0,21,0,3.8,4,0,0,0
12,3,50,0,23,23,0,30,0,3.5,5,1,0,0
12,1,38,0,27,27,0,28,0,3.7,3,0,0,0
12,9,34,0,4,4,0,4,0,2.8,15,6,0,0
13,2,26,0,20,20,0,20,0,3.8,4,0,0,0
13,6,71,0,193,71,122,71,0,4.9,8,0,0,0
13,4,55,0,42,42,0,41,1,4.6,10,1,0,0
13,8,75,0,118,75,43,75,0,4.8,13,5,0,0
13,7,74,0,38,38,0,51,0,5,10,3,0,0
13,10,69,0,56,56,0,69,0,5,17,1,0,0
13,5,51,0,27,27,0,32,0,3.9,9,2,0,0
13,3,50,0,22,22,0,30,0,3.5,5,1,0,0
13,9,19,0,4,4,0,4,0,2.8,15,6,0,0
13,1,32,0,27,27,0,27,0,3.7,3,0,0,0
14,1,32,0,22,22,0,27,0,3.7,3,0,0,0
14,6,71,0,192,71,121,71,0,4.9,8,0,0,0
14,5,51,0,28,28,0,32,0,3.9,9,2,0,0
14,7,74,0,47,47,0,51,0,5,10,3,0,0
14,10,69,0,61,61,0,69,0,5,17,1,0,0
14,4,55,0,45,45,0,41,1,4.6,10,1,0,0
14,3,50,0,20,20,0,30,0,3.5,5,1,0,0
14,2,26,0,13,13,0,20,0,3.8,4,0,0,0
14,8,75,0,108,75,33,75,0,4.8,13,5,0,0
14,9,19,0,4,4,0,4,0,2.8,15,6,0,0
15,5,51,0,29,29,0,32,0,3.9,9,2,0,0
15,2,26,0,17,17,0,20,0,3.8,4,0,0,0
15,10,69,0,64,64,0,69,0,5,17,1,0,0
15,3,50,0,19,19,0,30,0,3.5,5,1,0,0
15,1,32,0,25,25,0,27,0,3.7,3,0,0,0
15,6,71,0,205,71,134,71,0,4.9,8,0,0,0
15,8,75,0,106,75,31,75,0,4.8,13,5,0,0
15,4,55,0,38,38,0,41,1,4.6,10,1,0,0
15,7,74,0,47,47,0,51,0,5,10,3,0,0
15,9,19,0,4,4,0,4,0,2.8,15,6,0,0
16,3,50,0,21,21,0,30,0,3.5,5,1,0,0
16,8,75,0,115,75,40,75,0,4.8,13,5,0,0
16,2,26,0,19,19,0,20,0,3.8,4,0,0,0
16,10,69,0,59,59,0,69,0,5,17,1,0,0
16,4,55,0,39,39,0,41,1,4.6,10,1,0,0
16,1,32,0,27,27,0,27,0,3.7,3,0,0,0
16,6,71,0,194,71,123,71,0,4.9,8,0,0,0
16,7,74,0,37,37,0,51,0,5,10,3,0,0
16,5,51,0,26,26,0,32,0,3.9,9,2,0,0
16,9,19,0,4,4,0,4,0,2.8,15,6,0,0
17,3,50,0,17,17,0,30,0,3.5,5,1,0,0
17,7,74,0,41,41,0,51,0,5,10,3,0,0
17,6,71,0,197,71,126,71,0,4.9,8,0,0,0
17,8,75,0,109,75,34,75,0,4.8,13,5,0,0
17,10,69,0,66,66,0,69,0,5,17,1,0,0
17,1,28,0,25,25,0,25,0,3.7,3,0,0,0
17,2,23,0,20,20,0,20,0,3.8,4,0,0,0
17,4,47,0,39,39,0,39,1,4.6,10,1,0,0
17,5,39,0,28,28,0,28,0,3.9,9,2,0,0
17,9,19,0,4,4,0,4,0,2.8,15,6,0,0
18,5,39,0,28,28,0,28,0,3.9,9,2,0,0
18,3,50,0,20,20,0,30,0,3.5,5,1,0,0
18,4,47,0,41,41,0,39,1,4.6,10,1,0,0
18,6,71,0,199,71,128,71,0,4.9,8,0,0,0
18,7,74,0,46,46,0,51,0,5,10,3,0,0
18,8,75,0,113,75,38,75,0,4.8,13,5,0,0
18,1,28,0,27,27,0,25,0,3.7,3,0,0,0
18,10,69,0,55,55,0,69,0,5,17,1,0,0
18,9,19,0,3,3,0,4,0,2.8,15,6,0,0
18,2,23,0,18,18,0,20,0,3.8,4,0,0,0
19,7,74,0,43,43,0,51,0,5,10,3,0,0
19,10,69,0,52,52,0,69,0,5,17,1,0,0
19,8,75,0,109,75,34,75,0,4.8,13,5,0,0
19,5,39,0,28,28,0,28,0,3.9,9,2,0,0
19,9,19,0,3,3,0,4,0,2.8,15,6,0,0
19,2,23,0,21,21,0,20,0,3.8,4,0,0,0
19,4,47,0,44,44,0,39,1,4.6,10,1,0,0
19,6,71,0,197,71,126,71,0,4.9,8,0,0,0
19,3,50,0,19,19,0,30,0,3.5,5,1,0,0
19,1,28,0,25,25,0,25,0,3.7,3,0,0,0
20,9,19,0,3,3,0,4,0,2.8,15,6,0,0
20,7,74,0,48,48,0,51,0,5,10,3,0,0
20,5,39,0,31,31,0,28,0,3.9,9,2,0,0
20,2,23,0,14,14,0,20,0,3.8,4,0,0,0
20,10,69,0,60,60,0,69,0,5,17,1,0,0
20,1,28,0,24,24,0,25,0,3.7,3,0,0,0
20,8,75,0,114,75,39,75,0,4.8,13,5,0,0
20,6,71,0,192,71,121,71,0,4.9,8,0,0,0
20,4,47,0,40,40,0,39,1,4.6,10,1,0,0
20,3,50,0,22,22,0,30,0,3.5,5,1,0,0
21,1,28,0,29,28,1,25,0,3.7,3,0,0,0
21,3,50,0,20,20,0,30,0,3.5,5,1,0,0
21,6,71,0,204,71,133,71,0,4.9,8,0,0,0
21,8,75,0,111,75,36,75,0,4.8,13,5,0,0
21,10,69,0,47,47,0,69,0,5,17,1,0,0
21,2,23,0,16,16,0,20,0,3.8,4,0,0,0
21,9,11,0,3,3,0,3,0,2.8,15,6,0,0
21,7,74,0,43,43,0,51,0,5,10,3,0,0
